year,scenario,d_hvac_res,d_hvac_com,d_hvac_ind,d_hvac_total,d_aafs_res,d_aafs_com,d_aafs_total,d_ev_res,d_ev_com,d_ev_ind,d_ev_total,d_dc,d_residual,d_total,d_static,mnl_cec,mnl_hw,vs_static,capacity_clipped,clipped_sectors,clip_amount_mw,case,case_label,stress_total,headroom_mw,headroom_vs_mnl_only
2025,average,841.0077219954351,428.25178204604623,68.13607884162617,1337.3955828831074,0.0,0.0,0.0,0.812530929934792,0.1721691305052957,0.050615423667481146,1.035315484107569,1.9498284047126773,3093.94541978393,4434.326146555857,4625.0,46480.0,50914.32614655586,-190.67385344414288,False,,0.0,average,Average (Planning–LocalRel midpoint),50914.32614655586,189.67385344413924,4624.0
2026,average,822.8918951555225,418.5084920384345,66.5569313712632,1307.9573185652202,1.160895417828024,0.4975266076405817,1.6584220254686057,1.7029981088121264,0.5382681891911111,0.24157361295843274,2.4828399109616703,6.2078387375001105,3125.587617868217,4443.894037107368,4625.0,46959.5,51403.39403710737,-181.1059628926323,False,,0.0,average,Average (Planning–LocalRel midpoint),51403.39403710737,-299.3940371073695,4144.5
2027,average,830.7983041161168,422.00703674102874,67.08409383257764,1319.889434689723,3.073353187082283,1.3171513658924072,4.39050455297469,3.1139989060879882,1.0943668117196304,0.511905989364298,4.720271707171916,10.328594128836324,3155.0142379801327,4494.34304305884,4625.0,47713.5,52207.84304305884,-130.6569569411604,False,,0.0,average,Average (Planning–LocalRel midpoint),52207.84304305884,-1103.8430430588414,3390.5
2028,average,803.2628848110966,407.51603262374664,64.7523009200038,1275.531218354847,5.6769799045231695,2.4329913876527867,8.109971292175956,4.67536010492151,1.7608511546138779,0.8483835216992579,7.284594781234646,26.62976547145375,3183.972778238731,4501.528328138442,4625.0,49289.0,53790.52832813844,-123.4716718615582,False,,0.0,average,Average (Planning–LocalRel midpoint),53790.52832813844,-2686.52832813844,1815.0
2029,average,788.9919764426966,399.7815973282397,63.49561532915564,1252.269189100092,8.877830276222403,3.8047844040953156,12.682614680317718,6.533943123984245,2.5565102766595094,1.2464048078117234,10.336858208455478,45.87345049346644,3218.579482060698,4539.741594543029,4625.0,51115.0,55654.741594543026,-85.25840545697065,False,,0.0,average,Average (Planning–LocalRel midpoint),55654.741594543026,-4550.741594543026,-11.0
2030,average,764.6022120280956,386.9450366909882,61.42998933378456,1212.9772380528682,12.669193924042249,5.4296545388752495,18.0988484629175,8.735714053519674,3.653561239634234,1.8319332316014485,14.221208524755356,63.29298572544683,3149.6469223287554,4458.237203094744,4625.0,52668.5,57126.737203094744,-166.76279690525644,False,,0.0,average,Average (Planning–LocalRel midpoint),57126.737203094744,-6022.7372030947445,-1564.5
2031,average,827.6861242122876,418.3533269869763,66.38720720159193,1312.426658400856,16.63502740344319,7.129297458618509,23.7643248620617,10.819526121648218,4.783828574390743,2.5204180285329816,18.123772724571943,68.57244583159203,3083.7412789816008,4506.628480800682,4625.0,54324.0,58830.62848080068,-118.37151919931785,False,,0.0,average,Average (Planning–LocalRel midpoint),58830.62848080068,-7726.628480800682,-3220.0
2032,average,821.6305886359805,414.7804493897164,65.79141876476176,1302.2024567904589,20.66796466422147,8.8576991418092,29.525663806030668,12.592216300547959,5.985944886493421,3.318761301833707,21.896922488875088,82.87877726359038,3106.7396024412847,4543.2434227902395,4625.0,55903.0,60446.24342279024,-81.75657720976051,False,,0.0,average,Average (Planning–LocalRel midpoint),60446.24342279024,-9342.243422790241,-4799.0
2033,average,816.4625917753416,411.66353449860645,65.26839966869167,1293.3945259426398,24.526432093418656,10.511328040036567,35.03776013345522,14.4314830168285,7.276398533652127,4.162543421381376,25.870424971862004,95.84418570399095,3139.7860400855257,4589.932936837474,4625.0,57543.5,62133.432936837475,-35.06706316252621,False,,0.0,average,Average (Planning–LocalRel midpoint),62133.432936837475,-11029.432936837475,-6439.5
2034,average,802.3677302732157,404.05854174896643,64.03453182147283,1270.460803843655,28.512396707232796,12.219598588814057,40.731995296046854,16.60248206947518,8.782303250304517,5.119635068911929,30.504420388691624,109.19750428378634,3157.479458540941,4608.374182353121,4625.0,59022.0,63630.37418235312,-16.625817646879113,False,,0.0,average,Average (Planning–LocalRel midpoint),63630.37418235312,-12526.374182353124,-7918.0
