year,scenario,d_hvac_res,d_hvac_com,d_hvac_ind,d_hvac_total,d_aafs_res,d_aafs_com,d_aafs_total,d_ev_res,d_ev_com,d_ev_ind,d_ev_total,d_dc,d_residual,d_total,d_static,mnl_cec,mnl_hw,vs_static,capacity_clipped,clipped_sectors,clip_amount_mw,case,case_label,stress_total,headroom_mw,headroom_vs_mnl_only
2025,best,841.2282630126203,428.3640843247931,68.153946454184,1337.7462937915975,0.0,0.0,0.0,0.812530929934792,0.1721691305052957,0.050615423667481146,1.035315484107569,1.717280062866211,3094.756758196348,4435.255647534919,4625.0,46479.0,50914.25564753492,-189.74435246508074,False,,0.0,best,"Best (Planning, co-occurring peak)",50914.25564753492,189.74435246508074,4625.0
2026,best,823.105501006784,418.61712825569253,66.5742081849815,1308.296837447458,0.8455076453545145,0.36236041943764913,1.2078680647921636,1.6347439768968866,0.36763285940301177,0.13919241508557315,2.141569251385471,5.401382345619432,3126.3989562806346,4443.4466133898895,4625.0,46844.0,51287.44661338989,-181.55338661011046,False,,0.0,best,"Best (Planning, co-occurring peak)",51287.44661338989,-183.44661338988954,4260.0
2027,best,831.0201680616303,422.11973334349165,67.10200857995393,1320.2419099850758,1.9728511724938673,0.8455076453545146,2.818358817848382,2.9414463254033936,0.6629853600081432,0.25307711833740576,3.8575088037489427,7.823839694322882,3155.856781716105,4490.598399017101,4625.0,47360.0,51850.5983990171,-134.40160098289925,False,,0.0,best,"Best (Planning, co-occurring peak)",51850.5983990171,-746.5983990171007,3744.0
2028,best,803.4754444524862,407.6238696262933,64.76943569135072,1275.8687497701303,3.690707975753834,1.5817319896087858,5.2724399653626195,4.3685999614822295,0.9939507960156786,0.3882433065403384,5.750794064038247,15.969933757434317,3184.8153219747032,4487.677239531668,4625.0,48356.0,52843.677239531666,-137.32276046833158,False,,0.0,best,"Best (Planning, co-occurring peak)",52843.677239531666,-1739.6772395316657,2748.0
2029,best,789.2061644101628,399.89012619839144,63.51285250924927,1252.6091431178036,5.824608223553322,2.4962606672371384,8.32086889079046,6.064600104522146,1.3831527280042646,0.5423902786185765,7.990143111144987,25.479565409041143,3219.453231120225,4513.852951649005,4625.0,49501.0,54014.85295164901,-111.14704835099474,False,,0.0,best,"Best (Planning, co-occurring peak)",54014.85295164901,-2910.852951649009,1603.0
2030,best,783.7973908038263,396.65921098818774,62.97217638072695,1243.428778172741,8.159819815484838,3.4970656352077887,11.656885450692627,7.565759625205709,1.8878210952342922,0.8132978302933902,10.266878550733392,36.25225693014592,3246.4146306713337,4548.019429775646,4625.0,50498.0,55046.019429775646,-76.98057022435387,False,,0.0,best,"Best (Planning, co-occurring peak)",55046.019429775646,-3942.019429775646,606.0
2031,best,827.8955144542938,418.4591631268117,66.40400201423337,1312.758679595339,11.112386196087904,4.762451226894816,15.87483742298272,10.028084951574876,2.8052256492073884,1.3332562734229694,14.166566874205234,43.108435702381534,3084.5214120704636,4470.429931665372,4625.0,51882.0,56352.42993166537,-154.57006833462765,False,,0.0,best,"Best (Planning, co-occurring peak)",56352.42993166537,-5248.4299316653705,-778.0
2032,best,821.8451609988699,414.8887710884662,65.80860047680784,1302.542532564144,14.09179408924191,6.039340323960818,20.13113441320273,11.67500347166451,3.6929128142848033,1.942942058508538,17.310858344457852,55.74528730373351,3107.5509408537027,4503.280753479241,4625.0,53211.0,57714.28075347924,-121.71924652075904,False,,0.0,best,"Best (Planning, co-occurring peak)",57714.28075347924,-6610.280753479237,-2107.0
2033,best,816.6654557525461,411.7658192850985,65.28461670946726,1293.7158917471118,16.990677444743103,7.281718904889902,24.272396349633006,13.395400632362335,4.686192572486709,2.608419844682125,20.690013049531167,68.80482701986801,3140.566173174389,4548.049301340533,4625.0,54704.0,59252.049301340536,-76.95069865946698,False,,0.0,best,"Best (Planning, co-occurring peak)",59252.049301340536,-8148.049301340536,-3600.0
2034,best,802.5739047769622,404.1623676709053,64.05098598248007,1270.7872584303477,20.117713656927258,8.621877281540256,28.739590938467515,15.43525972368872,5.864247385838367,3.3688015502322397,24.668308659759326,81.90552040782241,3158.290796953358,4564.391475389755,4625.0,56022.0,60586.391475389755,-60.608524610244785,False,,0.0,best,"Best (Planning, co-occurring peak)",60586.391475389755,-9482.391475389755,-4918.0
