year,scenario,d_hvac_res,d_hvac_com,d_hvac_ind,d_hvac_total,d_aafs_res,d_aafs_com,d_aafs_total,d_ev_res,d_ev_com,d_ev_ind,d_ev_total,d_dc,d_residual,d_total,d_static,mnl_cec,mnl_hw,vs_static,capacity_clipped,clipped_sectors,clip_amount_mw,case,case_label,stress_total,headroom_mw,headroom_vs_mnl_only
2025,worst,918.6720894318958,467.7994614386068,74.42822732544762,1460.8997781959501,0.0,0.0,0.0,0.812530929934792,0.1721691305052957,0.050615423667481146,1.035315484107569,2.1823767465591435,3379.6613622491504,4843.778832675767,4625.0,46481.0,51324.778832675765,218.77883267576726,False,,0.0,worst,"Worst (LocalRel, split peak)",51324.778832675765,-220.77883267576544,4623.0
2026,worst,899.0177343012174,457.2247685427788,72.7141219833329,1428.956624827329,1.4762831903015334,0.6326927958435143,2.108975986145048,1.771252240727366,0.7089035189792103,0.3439548108312923,2.824110570537869,7.014295129380789,3414.7361459244353,4855.640152437828,4625.0,47075.0,51930.64015243783,230.64015243782796,False,,0.0,worst,"Worst (LocalRel, split peak)",51930.64015243783,-826.6401524378307,4029.0
2027,worst,907.8015275756107,461.12110569212103,73.30183819047375,1442.2244714582055,4.1738552016706985,1.7887950864302997,5.962650288100998,3.2865514867725834,1.5257482634311172,0.7707348603911902,5.583034610594891,12.833348563349764,3447.4393250095764,4914.042829929827,4625.0,48067.0,52981.04282992983,289.04282992982735,False,,0.0,worst,"Worst (LocalRel, split peak)",52981.04282992983,-1877.0428299298292,3037.0
2028,worst,877.6823770353701,445.27096540424196,70.75137475490817,1393.70471719452,7.663251833292505,3.2842507856967877,10.947502618989294,4.982120248360789,2.5277515132120776,1.3085237368581775,8.818395498431045,37.289597185473184,3478.9567017996455,4929.716914297059,4625.0,50222.0,55151.71691429706,304.7169142970588,False,,0.0,worst,"Worst (LocalRel, split peak)",55151.71691429706,-4047.7169142970597,882.0
2029,worst,862.0912699107931,436.82095029859767,69.37841864967892,1368.2906388590698,11.931052328891482,5.113308140953493,17.044360469844975,7.003286143446342,3.7298678253147544,1.9504193370048704,12.683573305765966,66.26733557789174,3516.7775539477284,4981.0634621603,4625.0,52729.0,57710.0634621603,356.06346216030033,False,,0.0,worst,"Worst (LocalRel, split peak)",57710.0634621603,-6606.063462160302,-1625.0
2030,worst,981.6307173135885,496.777445778499,78.86658388593995,1557.2747469780275,17.178568032599664,7.362243442542712,24.540811475142377,9.90566848183364,5.419301384034176,2.850568632909506,18.17553849877732,76.33038429467196,3546.297790030307,5222.619271276926,4625.0,54839.0,60061.619271276926,597.6192712769262,False,,0.0,worst,"Worst (LocalRel, split peak)",60061.619271276926,-8957.619271276926,-3735.0
2031,worst,961.0844595896781,485.77941495331515,77.0868464392009,1523.950720982194,22.157668610798467,9.496143690342201,31.65381230114067,11.610967291721561,6.762431499574096,3.707579783642995,22.08097857493865,94.03645596080254,3580.748467234502,5252.470435053578,4625.0,56766.0,62018.470435053576,627.4704350535776,False,,0.0,worst,"Worst (LocalRel, split peak)",62018.470435053576,-10914.470435053576,-5662.0
2032,worst,954.0382421050706,481.6232699567086,76.39385676735158,1512.0553688291307,27.24413523920103,11.676057959657584,38.92019319885861,13.509429129431403,8.278976958702035,4.6945805451588765,26.482986633292313,110.01226722344724,3607.397813550065,5294.8686294347945,4625.0,58595.0,63889.86862943479,669.8686294347945,False,,0.0,worst,"Worst (LocalRel, split peak)",63889.86862943479,-12785.868629434794,-7491.0
2033,worst,948.0888547446989,478.02999536607314,75.79066440552388,1501.9095145162958,32.06218674209421,13.740937175183232,45.803123917277446,15.467565401294667,9.866604494817544,5.716666998080627,31.050836894192837,122.88354438811386,3645.967593463457,5347.6146131793375,4625.0,60383.0,65730.61461317934,722.6146131793375,False,,0.0,worst,"Worst (LocalRel, split peak)",65730.61461317934,-14626.614613179336,-9279.0
2034,worst,931.7184420084374,469.19732785160255,74.35761929648729,1475.2733891565272,36.90707975753833,15.817319896087858,52.724399653626186,17.76970441526164,11.700359114770665,6.870468587591618,36.34053211762392,136.48948815975027,3666.500696362333,5367.32850544986,4625.0,62022.0,67389.32850544986,742.3285054498601,False,,0.0,worst,"Worst (LocalRel, split peak)",67389.32850544986,-16285.328505449856,-10918.0
2035,worst,890.3464683501751,447.8111586625017,70.93719754091853,1409.0948245535953,41.93986336083902,17.974227154645295,59.91409051548432,20.204565122538508,13.660987812799373,8.103069188948574,41.968622124286455,149.84738800819719,3685.910407613247,5346.73533281481,4625.0,63564.0,68910.73533281482,721.7353328148101,False,,0.0,worst,"Worst (LocalRel, split peak)",68910.73533281482,-17806.735332814817,-12460.0
2036,worst,863.9750434669597,434.0126641885845,68.72115907431831,1366.7088667298626,46.54318276332471,19.94707832713916,66.49026109046386,21.5928464966909,14.816514928117211,8.899111761173504,45.30847318598161,154.0594712085033,3616.5097680279864,5249.076840242798,4625.0,64498.0,69747.0768402428,624.0768402427984,False,,0.0,worst,"Worst (LocalRel, split peak)",69747.0768402428,-18643.076840242793,-13394.0
2037,worst,854.2231535476247,428.58619376277966,67.83205842724091,1350.6414057376455,51.012294603055715,21.862411972738162,72.87470657579388,23.509474286645034,16.168799916687895,9.782005799009681,49.460280002342614,156.6353721105012,3635.5450153962456,5265.156779822529,4625.0,65440.0,70705.15677982253,640.1567798225287,False,,0.0,worst,"Worst (LocalRel, split peak)",70705.15677982253,-19601.15677982253,-14336.0
2038,worst,821.280469859682,411.55157380930103,65.10729013736004,1297.939333806343,55.09220451079813,23.61094479034206,78.7031493011402,25.352719298535806,17.365547926280385,10.568845566931433,53.28711279174762,162.53938136005777,3646.9661638172015,5239.43514107649,4625.0,66297.0,71536.4351410765,614.4351410764903,False,,0.0,worst,"Worst (LocalRel, split peak)",71536.4351410765,-20432.435141076494,-15193.0
2039,worst,784.2694169189339,392.52225345903156,62.06945856412323,1238.8611289420885,58.420552067114315,25.037379457334705,83.45793152444902,27.122246013456326,18.428184235663014,11.28551395204145,56.83594420116079,168.82254716692543,3659.0114187092477,5206.988970543872,4625.0,67096.0,72302.98897054387,581.9889705438718,False,,0.0,worst,"Worst (LocalRel, split peak)",72302.98897054387,-21198.98897054387,-15992.0
2040,worst,745.1906242916921,372.5056946550618,58.87822345357552,1176.5745424003294,61.2389108849627,26.24524752212687,87.48415840708957,29.79436651917451,19.956760444166463,12.220173764083006,61.97130072742398,175.10571297379306,3670.6197990715305,5171.755513580167,4625.0,68092.0,73263.75551358017,546.7555135801667,False,,0.0,worst,"Worst (LocalRel, split peak)",73263.75551358017,-22159.755513580167,-16988.0
2041,worst,725.089972467285,362.0130792950245,57.194456403792984,1144.2975081661025,64.29884331576952,27.556647135329793,91.85549045109931,30.874353949170427,20.398303325629378,12.558376822224812,63.83103409702461,178.40979154464586,3682.2281794338137,5160.622003692686,4625.0,68641.0,73801.62200369268,535.6220036926861,False,,0.0,worst,"Worst (LocalRel, split peak)",73801.62200369268,-22697.622003692682,-17537.0
2042,worst,665.5170902884038,331.86289705350384,52.40781523311479,1049.7878025750224,67.02325683968961,28.72425293129555,95.74750977098516,31.983914974244787,20.78074694820782,12.835036126589113,65.59969804904172,187.07622714032533,3694.2110236787503,5092.422261214125,4625.0,69273.0,74365.42226121413,467.4222612141248,False,,0.0,worst,"Worst (LocalRel, split peak)",74365.42226121413,-23261.42226121413,-18169.0
2043,worst,620.4963772040119,309.0339260340905,48.781031597398986,978.3113348355013,69.58662128830409,29.822837694987474,99.40945898329156,33.46494336051515,21.33929006562937,13.191069618068326,67.99530304421285,193.35939294719302,3705.2577082170524,5044.3331980272515,4625.0,69940.0,74984.33319802725,419.33319802725146,False,,0.0,worst,"Worst (LocalRel, split peak)",74984.33319802725,-23880.33319802725,-18836.0
2044,worst,578.9963720828857,288.011924267571,45.44253402022657,912.4508303706833,71.46552716686968,30.62808307151558,102.09361023838525,34.881120735211546,21.804319270574354,13.482108304156345,70.16754830994225,198.93841086191173,3715.9923395198084,4999.642739300731,4625.0,70530.0,75529.64273930073,374.6427393007307,False,,0.0,worst,"Worst (LocalRel, split peak)",75529.64273930073,-24425.642739300733,-19426.0
2045,worst,522.2282509044281,259.4555712048879,40.91872651587595,822.602548625192,72.68681598793731,31.151492566258852,103.83830855419616,36.83566216164388,22.524726294932538,13.876678538655113,73.23706699523153,206.1423854508203,3724.979472703511,4930.799782328951,4625.0,71176.0,76106.79978232895,305.79978232895064,False,,0.0,worst,"Worst (LocalRel, split peak)",76106.79978232895,-25002.799782328948,-20072.0
2046,worst,458.61932083827094,227.57434004932614,35.874777912397285,722.0684387999943,72.92838960089574,31.25502411466961,104.18341371556535,38.81536750609272,23.19964654177136,14.235012731210125,76.2500267790742,213.83384704198588,3733.5297313574506,4849.86545769407,4625.0,71762.0,76611.86545769408,224.86545769406985,False,,0.0,worst,"Worst (LocalRel, split peak)",76611.86545769408,-25507.865457694075,-20658.0
2047,worst,406.2576670713744,201.34512355799,31.725878009986612,639.3286686393509,73.26390850778246,31.39881793190677,104.66272643968924,39.5121444131516,23.12367547499773,14.182671781735799,76.81849166988513,219.95451718143457,3743.203381659353,4783.9677855897135,4625.0,72034.0,76817.96778558972,158.96778558971346,False,,0.0,worst,"Worst (LocalRel, split peak)",76817.96778558972,-25713.967785589717,-20930.0
2048,worst,331.49968698862665,164.09356927079364,25.84463985965503,521.4378961190753,73.58600665839371,31.536859996454442,105.12286665484815,40.14689825370885,22.993925520577392,14.094669965586654,77.2354937398729,228.40429188722212,3751.8160509604018,4684.01659936142,4625.0,72322.0,77006.01659936142,59.01659936142005,False,,0.0,worst,"Worst (LocalRel, split peak)",77006.01659936142,-25902.01659936142,-21218.0
2049,worst,266.56749180340313,131.79071390642721,20.747697431841413,419.1059031416718,73.9752085903823,31.703660824449557,105.67886941483185,41.36329808499041,23.148743530469407,14.144135038716238,78.65617665417606,235.7165969210766,3760.6783628498865,4599.835908981642,4625.0,72716.0,77315.83590898164,-25.164091018357794,False,,0.0,worst,"Worst (LocalRel, split peak)",77315.83590898164,-26211.835908981637,-21612.0
2050,worst,214.48578151816346,105.91210759872722,16.666202761909283,337.06409187879996,74.310727497269,31.847454641686717,106.15818213895571,42.53574493946982,23.256636824669695,14.172318626894722,79.96470039103424,241.5664409481603,3769.7279066806987,4534.481322037649,4625.0,73069.0,77603.48132203765,-90.51867796235092,False,,0.0,worst,"Worst (LocalRel, split peak)",77603.48132203765,-26499.481322037653,-21965.0
