policy,year,stress_mw,delta_stress_mw,delta_uplift_mw
CF3,2030,60038.72015598852,-22.899115288404573,-22.899115288401845
CF3,2035,68852.0966803527,-58.63865246211935,-58.638652462114806
CF3,2040,73193.44029905951,-70.31521452065499,-70.31521452064953
CF3,2050,77506.47822700556,-97.00309503209428,-97.0030950320961
CF_DC_PUE,2030,60038.72015598852,-22.899115288404573,-22.899115288401845
CF_DC_PUE,2035,68865.78111641236,-44.95421640246059,-44.95421640245877
CF_DC_PUE,2040,73211.22379968803,-52.531713892138214,-52.531713892138214
CF_DC_PUE,2050,77531.0113897532,-72.46993228445353,-72.46993228444808
CF_DC_SHIFT,2030,60042.53667520326,-19.082596073669265,-19.082596073668356
CF_DC_SHIFT,2035,68873.27348581277,-37.46184700205049,-37.46184700204958
CF_DC_SHIFT,2040,73219.97908533672,-43.77642824345094,-43.77642824344821
CF_DC_SHIFT,2050,77543.08971180061,-60.39161023704219,-60.39161023704037
CF_EV_FLEET_DR,2030,60044.709118369836,-16.910152907090378,-16.910152907090378
CF_EV_FLEET_DR,2035,68872.9424831431,-37.79284967172134,-37.79284967171861
CF_EV_FLEET_DR,2040,73208.9758209655,-54.77969261466933,-54.77969261466933
CF_EV_FLEET_DR,2050,77534.06150157734,-69.41982046031626,-69.41982046030898
CF_HEAVY_EV_DR,2030,60060.35388568524,-1.265385591686936,-1.265385591686936
CF_HEAVY_EV_DR,2035,68906.55956036225,-4.175772452566889,-4.175772452566889
CF_HEAVY_EV_DR,2040,73256.56390546741,-7.191608112756512,-7.191608112754693
CF_HEAVY_EV_DR,2050,77592.93644210692,-10.544879930734169,-10.544879930725074
CF_INDUSTRY_STACK,2030,60007.18680023818,-54.43247103874455,-54.43247103874637
CF_INDUSTRY_STACK,2035,68797.58920138663,-113.14613142819144,-113.14613142817961
CF_INDUSTRY_STACK,2040,73118.6089991902,-145.14651438996952,-145.1465143899759
CF_INDUSTRY_STACK,2050,77408.77256219625,-194.7087598414073,-194.70875984141094
