period,temperature_f,humidity_pct,wind_mph,solar_radiation_wm2
2023-09-01 00:00:00,68.3,79,6.4,0.0
2023-09-01 01:00:00,67.8,78,7.9,0.0
2023-09-01 02:00:00,67.7,78,7.8,0.0
2023-09-01 03:00:00,67.1,79,7.6,0.0
2023-09-01 04:00:00,66.5,80,7.0,0.0
2023-09-01 05:00:00,64.6,86,4.7,0.0
2023-09-01 06:00:00,63.0,91,5.4,0.0
2023-09-01 07:00:00,64.4,89,4.8,0.0
2023-09-01 08:00:00,66.1,83,5.7,39.0
2023-09-01 09:00:00,71.5,73,5.9,188.0
2023-09-01 10:00:00,76.6,64,5.2,361.0
2023-09-01 11:00:00,80.4,56,5.2,524.0
2023-09-01 12:00:00,82.6,52,3.5,561.0
2023-09-01 13:00:00,84.5,49,4.1,632.0
2023-09-01 14:00:00,86.3,46,6.3,672.0
2023-09-01 15:00:00,87.5,44,9.2,701.0
2023-09-01 16:00:00,88.2,44,9.7,670.0
2023-09-01 17:00:00,87.9,46,10.1,473.0
2023-09-01 18:00:00,87.7,48,9.8,352.0
2023-09-01 19:00:00,85.6,53,12.4,221.0
2023-09-01 20:00:00,81.9,58,12.8,81.0
2023-09-01 21:00:00,79.9,60,13.8,2.0
2023-09-01 22:00:00,78.4,61,13.0,0.0
2023-09-01 23:00:00,77.0,63,11.7,0.0
2023-09-02 00:00:00,75.7,66,9.7,0.0
2023-09-02 01:00:00,73.8,71,7.5,0.0
2023-09-02 02:00:00,70.8,79,4.3,0.0
2023-09-02 03:00:00,68.1,89,4.4,0.0
2023-09-02 04:00:00,67.7,89,2.1,0.0
2023-09-02 05:00:00,66.7,93,3.0,0.0
2023-09-02 06:00:00,66.2,94,2.5,0.0
2023-09-02 07:00:00,65.1,95,2.7,0.0
2023-09-02 08:00:00,65.4,95,3.8,35.0
2023-09-02 09:00:00,71.0,86,2.3,136.0
2023-09-02 10:00:00,76.7,77,3.9,293.0
2023-09-02 11:00:00,80.7,68,4.0,496.0
2023-09-02 12:00:00,83.9,60,4.0,633.0
2023-09-02 13:00:00,86.0,58,5.2,639.0
2023-09-02 14:00:00,87.9,56,3.4,630.0
2023-09-02 15:00:00,89.9,53,3.5,745.0
2023-09-02 16:00:00,91.4,49,5.3,689.0
2023-09-02 17:00:00,92.4,43,6.2,570.0
2023-09-02 18:00:00,92.4,44,6.2,414.0
2023-09-02 19:00:00,91.8,42,9.9,213.0
2023-09-02 20:00:00,89.6,37,10.3,49.0
2023-09-02 21:00:00,86.1,40,6.1,1.0
2023-09-02 22:00:00,81.3,46,7.4,0.0
2023-09-02 23:00:00,79.8,50,7.8,0.0
2023-09-03 00:00:00,77.1,56,6.7,0.0
2023-09-03 01:00:00,76.0,61,4.2,0.0
2023-09-03 02:00:00,81.8,48,2.7,0.0
2023-09-03 03:00:00,80.3,48,2.2,0.0
2023-09-03 04:00:00,76.3,55,2.1,0.0
2023-09-03 05:00:00,70.5,65,3.6,0.0
2023-09-03 06:00:00,68.1,69,5.0,0.0
2023-09-03 07:00:00,66.9,76,4.0,0.0
2023-09-03 08:00:00,70.8,68,3.4,31.0
2023-09-03 09:00:00,76.8,61,6.9,178.0
2023-09-03 10:00:00,80.8,59,2.3,350.0
2023-09-03 11:00:00,83.8,53,1.9,513.0
2023-09-03 12:00:00,87.3,47,3.5,650.0
2023-09-03 13:00:00,90.2,42,5.1,740.0
2023-09-03 14:00:00,92.2,40,9.0,778.0
2023-09-03 15:00:00,93.3,41,10.3,759.0
2023-09-03 16:00:00,93.9,41,9.4,687.0
2023-09-03 17:00:00,94.5,36,9.0,569.0
2023-09-03 18:00:00,94.0,34,7.6,413.0
2023-09-03 19:00:00,90.6,40,10.9,239.0
2023-09-03 20:00:00,86.3,43,8.4,71.0
2023-09-03 21:00:00,82.8,49,9.8,1.0
2023-09-03 22:00:00,82.4,48,9.8,0.0
2023-09-03 23:00:00,81.4,48,10.0,0.0
2023-09-04 00:00:00,80.4,48,9.4,0.0
2023-09-04 01:00:00,80.2,46,9.0,0.0
2023-09-04 02:00:00,81.1,46,16.9,0.0
2023-09-04 03:00:00,83.5,39,14.4,0.0
2023-09-04 04:00:00,81.5,41,9.5,0.0
2023-09-04 05:00:00,78.2,50,6.7,0.0
2023-09-04 06:00:00,75.1,54,5.2,0.0
2023-09-04 07:00:00,75.7,55,7.4,0.0
2023-09-04 08:00:00,74.6,58,7.1,31.0
2023-09-04 09:00:00,78.5,56,7.7,174.0
2023-09-04 10:00:00,81.1,52,7.1,292.0
2023-09-04 11:00:00,84.4,47,8.5,459.0
2023-09-04 12:00:00,86.5,45,9.0,476.0
2023-09-04 13:00:00,89.2,42,8.3,684.0
2023-09-04 14:00:00,90.9,41,6.3,727.0
2023-09-04 15:00:00,92.2,38,3.4,713.0
2023-09-04 16:00:00,93.7,35,6.4,663.0
2023-09-04 17:00:00,93.6,33,7.4,553.0
2023-09-04 18:00:00,92.4,36,3.2,314.0
2023-09-04 19:00:00,88.1,52,2.7,95.0
2023-09-04 20:00:00,81.9,60,6.1,61.0
2023-09-04 21:00:00,77.4,61,9.1,0.0
2023-09-04 22:00:00,76.1,63,16.9,0.0
2023-09-04 23:00:00,72.8,71,22.4,0.0
2023-09-05 00:00:00,71.1,80,14.0,0.0
2023-09-05 01:00:00,70.1,83,7.8,0.0
2023-09-05 02:00:00,68.4,90,4.3,0.0
2023-09-05 03:00:00,68.8,89,6.8,0.0
2023-09-05 04:00:00,69.6,89,7.0,0.0
2023-09-05 05:00:00,68.6,90,7.4,0.0
2023-09-05 06:00:00,68.0,91,7.3,0.0
2023-09-05 07:00:00,65.4,92,6.4,0.0
2023-09-05 08:00:00,65.5,92,5.6,30.0
2023-09-05 09:00:00,67.2,81,10.4,140.0
2023-09-05 10:00:00,63.2,92,19.9,167.0
2023-09-05 11:00:00,61.5,91,18.5,88.0
2023-09-05 12:00:00,62.2,87,22.8,196.0
2023-09-05 13:00:00,61.6,84,24.1,198.0
2023-09-05 14:00:00,62.5,79,23.8,288.0
2023-09-05 15:00:00,63.8,71,22.7,262.0
2023-09-05 16:00:00,64.4,63,21.9,271.0
2023-09-05 17:00:00,65.8,54,22.2,490.0
2023-09-05 18:00:00,65.6,51,21.3,362.0
2023-09-05 19:00:00,62.1,61,17.4,178.0
2023-09-05 20:00:00,60.9,63,14.2,64.0
2023-09-05 21:00:00,59.8,63,12.2,0.0
2023-09-05 22:00:00,58.8,68,10.9,0.0
2023-09-05 23:00:00,57.8,71,9.7,0.0
2023-09-06 00:00:00,56.3,76,6.4,0.0
2023-09-06 01:00:00,54.1,84,4.4,0.0
